name,time,application,num_replicas,batch_size,duration,num_task
inference-yolov3-1,3,infer-yolov3-1,1,1,8.0,1847
inference-bert-2,6,infer-bert-1,1,1,4.0,458
inference-ncf-3,12,infer-ncf-3,1,1,15.0,539
inference-imagenet-4,18,infer-imagenet-3,1,1,5.0,7792
inference-deepspeech2-5,20,infer-deepspeech2-3,1,1,1.0,413
inference-ncf-6,21,infer-ncf-1,1,1,10.0,831
inference-yolov3-7,26,infer-yolov3-2,1,1,12.0,4505
inference-imagenet-8,27,infer-imagenet-1,1,1,7.0,3888
inference-imagenet-9,36,infer-imagenet-2,1,1,3.0,2664
inference-deepspeech2-10,38,infer-deepspeech2-1,1,1,7.0,116
inference-yolov3-11,38,infer-yolov3-3,1,1,3.0,3954
inference-yolov3-12,43,infer-yolov3-3,1,1,15.0,3050
inference-imagenet-13,43,infer-imagenet-3,1,1,7.0,8462
inference-bert-14,44,infer-bert-1,1,1,1.0,906
inference-ncf-15,51,infer-ncf-1,1,1,10.0,1618
inference-deepspeech2-16,52,infer-deepspeech2-1,1,1,9.0,47
inference-bert-18,54,infer-bert-2,1,1,15.0,4336
inference-deepspeech2-17,54,infer-deepspeech2-2,1,1,12.0,630
inference-bert-19,64,infer-bert-2,1,1,15.0,3735
inference-deepspeech2-20,66,infer-deepspeech2-3,1,1,4.0,568
inference-bert-21,69,infer-bert-1,1,1,9.0,2291
inference-deepspeech2-22,71,infer-deepspeech2-1,1,1,14.0,188
inference-bert-23,74,infer-bert-1,1,1,4.0,872
inference-cifar10-24,75,infer-cifar10-3,1,1,5.0,9873
inference-deepspeech2-25,75,infer-deepspeech2-2,1,1,2.0,181
inference-ncf-26,76,infer-ncf-2,1,1,3.0,1937
inference-ncf-27,77,infer-ncf-1,1,1,7.0,1042
inference-deepspeech2-28,78,infer-deepspeech2-1,1,1,15.0,912
inference-ncf-29,79,infer-ncf-2,1,1,15.0,1934
inference-yolov3-30,80,infer-yolov3-1,1,1,5.0,1341
inference-yolov3-31,83,infer-yolov3-3,1,1,4.0,3286
inference-cifar10-32,84,infer-cifar10-3,1,1,12.0,2606
inference-yolov3-33,93,infer-yolov3-2,1,1,6.0,3169
inference-cifar10-34,94,infer-cifar10-1,1,1,11.0,1011
inference-ncf-35,98,infer-ncf-2,1,1,3.0,1937
inference-deepspeech2-36,100,infer-deepspeech2-3,1,1,11.0,701
inference-ncf-37,104,infer-ncf-3,1,1,3.0,1036
inference-bert-38,106,infer-bert-1,1,1,17.0,1216
inference-bert-39,106,infer-bert-2,1,1,6.0,2651
cifar10-0,107,cifar10,6,2048,4.0,-1
inference-ncf-41,108,infer-ncf-3,1,1,11.0,157
inference-imagenet-40,108,infer-imagenet-1,1,1,14.0,8572
inference-bert-42,109,infer-bert-2,1,1,14.0,4514
deepspeech2-1,110,deepspeech2,6,320,4.0,-1
inference-yolov3-43,112,infer-yolov3-1,1,1,12.0,2581
inference-deepspeech2-44,113,infer-deepspeech2-3,1,1,15.0,103
inference-ncf-45,113,infer-ncf-3,1,1,10.0,1706
inference-yolov3-46,124,infer-yolov3-3,1,1,6.0,296
inference-yolov3-47,124,infer-yolov3-1,1,1,10.0,4844
inference-ncf-48,130,infer-ncf-3,1,1,15.0,330
inference-imagenet-50,131,infer-imagenet-1,1,1,8.0,9742
inference-cifar10-49,131,infer-cifar10-3,1,1,13.0,8916
inference-cifar10-51,133,infer-cifar10-1,1,1,16.0,1146
inference-cifar10-52,135,infer-cifar10-2,1,1,8.0,2843
ncf-2,135,ncf,1,32768,4.0,-1
inference-cifar10-53,149,infer-cifar10-2,1,1,14.0,9295
inference-yolov3-54,155,infer-yolov3-1,1,1,12.0,403
inference-bert-55,166,infer-bert-1,1,1,6.0,4862
inference-deepspeech2-56,168,infer-deepspeech2-3,1,1,13.0,971
inference-yolov3-57,169,infer-yolov3-1,1,1,7.0,3867
inference-imagenet-58,175,infer-imagenet-1,1,1,6.0,1493
inference-deepspeech2-59,176,infer-deepspeech2-1,1,1,9.0,892
inference-bert-60,187,infer-bert-1,1,1,12.0,3276
inference-yolov3-61,190,infer-yolov3-2,1,1,10.0,3978
inference-ncf-62,194,infer-ncf-2,1,1,6.0,3732
inference-imagenet-63,200,infer-imagenet-3,1,1,1.0,8
inference-bert-64,206,infer-bert-2,1,1,16.0,3662
inference-deepspeech2-65,211,infer-deepspeech2-3,1,1,4.0,686
inference-yolov3-66,215,infer-yolov3-2,1,1,5.0,3654
inference-imagenet-67,221,infer-imagenet-2,1,1,17.0,2737
inference-deepspeech2-68,221,infer-deepspeech2-2,1,1,7.0,283
inference-cifar10-69,221,infer-cifar10-1,1,1,14.0,5571
inference-imagenet-70,225,infer-imagenet-3,1,1,3.0,454
inference-cifar10-71,227,infer-cifar10-3,1,1,12.0,2843
inference-ncf-72,234,infer-ncf-1,1,1,5.0,1099
inference-bert-73,235,infer-bert-3,1,1,6.0,1463
inference-imagenet-74,236,infer-imagenet-3,1,1,11.0,787
inference-bert-75,236,infer-bert-3,1,1,7.0,3350
inference-yolov3-76,239,infer-yolov3-1,1,1,4.0,2944
inference-bert-77,247,infer-bert-3,1,1,16.0,1654
inference-bert-78,248,infer-bert-3,1,1,11.0,1317
inference-imagenet-79,250,infer-imagenet-3,1,1,8.0,2721
inference-cifar10-80,250,infer-cifar10-1,1,1,17.0,2843
inference-imagenet-81,252,infer-imagenet-3,1,1,2.0,3197
