name,time,application,num_replicas,batch_size,duration,num_task
inference-yolov3-1,19,infer-yolov3-1,1,1,7.0,530
inference-ncf-2,33,infer-ncf-1,1,1,2.0,3271
inference-deepspeech2-3,47,infer-deepspeech2-1,1,1,9.0,762
inference-bert-5,58,infer-bert-1,1,1,4.0,4927
inference-ncf-4,58,infer-ncf-1,1,1,7.0,137
inference-yolov3-6,70,infer-yolov3-1,1,1,3.0,2923
inference-imagenet-7,100,infer-imagenet-1,1,1,4.0,1955
inference-ncf-8,104,infer-ncf-1,1,1,9.0,1146
inference-ncf-9,105,infer-ncf-1,1,1,3.0,3703
cifar10-0,107,cifar10,6,2048,4.0,-1
deepspeech2-1,110,deepspeech2,6,320,4.0,-1
ncf-2,135,ncf,1,32768,4.0,-1
inference-yolov3-10,138,infer-yolov3-1,1,1,3.0,162
inference-yolov3-11,142,infer-yolov3-1,1,1,4.0,1341
inference-yolov3-12,148,infer-yolov3-1,1,1,2.0,1003
inference-bert-13,182,infer-bert-1,1,1,9.0,2714
inference-bert-14,186,infer-bert-1,1,1,7.0,2195
inference-deepspeech2-15,199,infer-deepspeech2-1,1,1,2.0,988
inference-ncf-16,216,infer-ncf-1,1,1,6.0,2849
inference-bert-17,229,infer-bert-1,1,1,2.0,584
inference-deepspeech2-18,234,infer-deepspeech2-1,1,1,8.0,241
inference-yolov3-19,246,infer-yolov3-1,1,1,9.0,1341
inference-cifar10-20,262,infer-cifar10-1,1,1,1.0,5968
deepspeech2-3,262,deepspeech2,12,640,4.0,-1
inference-deepspeech2-21,271,infer-deepspeech2-1,1,1,3.0,297
inference-cifar10-22,334,infer-cifar10-1,1,1,5.0,8127
inference-deepspeech2-23,354,infer-deepspeech2-1,1,1,4.0,417
cifar10-4,356,cifar10,16,4096,4.0,-1
inference-bert-24,364,infer-bert-1,1,1,8.0,1721
inference-cifar10-25,374,infer-cifar10-1,1,1,5.0,6047
inference-yolov3-26,407,infer-yolov3-1,1,1,6.0,4494
inference-imagenet-27,429,infer-imagenet-1,1,1,1.0,1616
inference-deepspeech2-28,463,infer-deepspeech2-1,1,1,5.0,892
inference-imagenet-29,473,infer-imagenet-1,1,1,2.0,4111
inference-ncf-30,506,infer-ncf-1,1,1,6.0,3732
inference-bert-31,517,infer-bert-1,1,1,5.0,847
